observation_date,PMAIZMTUSDM
2020-09-01,166.6025335034010
2020-10-01,186.7663875000000
2020-11-01,190.6250375939850
2020-12-01,199.1844175170070
2021-01-01,231.7544614661650
2021-02-01,245.5540565789470
2021-03-01,245.7603568322980
2021-04-01,268.6224488095240
2021-05-01,304.2975496598640
2021-06-01,292.5237267857140
2021-07-01,278.4457556122450
2021-08-01,257.0207553571430
2021-09-01,235.8156035714290
2021-10-01,239.6024508503400
2021-11-01,248.7677460714290
2021-12-01,264.5731467687070
2022-01-01,276.7191782142860
2022-02-01,292.6715930451130
2022-03-01,335.9306841614910
2022-04-01,348.5071169642860
2022-05-01,344.9092996031750
2022-06-01,335.7171340136050
2022-07-01,312.6820419642860
2022-08-01,293.9307903338510
2022-09-01,312.5461278911560
2022-10-01,343.5532833333330
2022-11-01,320.9296828571430
2022-12-01,302.2354051020410
2023-01-01,302.8399883928570
2023-02-01,298.2453033834590
2023-03-01,284.9574049689440
2023-04-01,291.1797449248120
2023-05-01,268.1725263605440
2023-06-01,266.9352396258500
2023-07-01,235.2719472789120
2023-08-01,207.6758886645960
2023-09-01,223.8476664285710
2023-10-01,221.9025187500000
2023-11-01,209.0402968303570
2023-12-01,207.3979688909770
2024-01-01,198.7579285289120
2024-02-01,188.9477444642860
2024-03-01,190.2272114285710
2024-04-01,190.9000500000000
2024-05-01,201.0194705357140
2024-06-01,191.2409429464290
2024-07-01,177.7677084464290
2024-08-01,169.2967424107140
2024-09-01,183.6558276597740
2024-10-01,189.5879058618010
